decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
145.85093689,17.3058300018,2007-06-08T12:00:00Z,HumanObservation,NA,NA,11,OBIS,Cryptodendrum_adhaesivum
-134.949996948,-23.1299991608,NA,HumanObservation,NA,NA,4,OBIS,Cryptodendrum_adhaesivum
166.4100037,-22.299999239999998,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
109.400001526,12.8199996948,NA,HumanObservation,NA,NA,1.5,OBIS,Cryptodendrum_adhaesivum
129.8399963,-4.53000021,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
145.789993286,-5.23000001907,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
144.449996948,7.23999977112,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
131.330001831,-4.05000019073,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
123.291671753,9.30500030518,1979-05-12T12:00:00Z,PreservedSpecimen,NA,NA,2,OBIS,Cryptodendrum_adhaesivum
-168.1399994,-14.55000019,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
168,-29.083,1980-04-16,PreservedSpecimen,NA,present,NA,OBIS,Cryptodendrum_adhaesivum
52.7200012207,-7,NA,HumanObservation,NA,NA,8,OBIS,Cryptodendrum_adhaesivum
145.7899933,-5.230000019,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
128,-3,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
153.179992676,-26.6299991608,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
129.839996338,-4.53000020981,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
123.2916718,9.305000305,1979-05-12,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,2,OBIS,Cryptodendrum_adhaesivum
34.9500007629,29.5300006866,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
145.5670013,-16.38299942,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
145.567001343,-16.3829994202,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
-139.880004883,-9.09000015259,NA,HumanObservation,NA,NA,4,OBIS,Cryptodendrum_adhaesivum
-168.13999939,-14.5500001907,NA,HumanObservation,NA,NA,NA,OBIS,Cryptodendrum_adhaesivum
131.3300018,-4.050000191,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Cryptodendrum_adhaesivum
