decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
147.2865,-9.5701,2011-01-27,PreservedSpecimen,Ocean Genome Legacy Collection,present,0,OBIS,Premnas_biaculeatus
146.05199,-16.69967,2006-10-10T12:00:00Z,HumanObservation,NA,present,NA,OBIS,Premnas_biaculeatus
128.28333,-3.61667,1975-01-27,PreservedSpecimen,NA,present,6,OBIS,Premnas_biaculeatus
93,10,1790-07-02T12:00:00Z,HumanObservation,NA,present,NA,OBIS,Premnas_biaculeatus
145.444,-14.6871,2015-02-20 00:02:00,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
106.599998474,-5.80000019073,1974-04-04T10:30:00Z,PreservedSpecimen,NA,NA,2.6,OBIS,Premnas_biaculeatus
145.61611,-14.61777,2008-09-16,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
145.395833333,-15.6919444444,1981-09-19T12:00:00Z,HumanObservation,NA,NA,NA,OBIS,Premnas_biaculeatus
146.61667,-18.75,NA,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
150.78432,-21.05063,2012-01-18,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
145.966,-16.766,NA,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
145.45,-14.6834,2018-03-07 00:03:00,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
123.453887939,9.20444393158,1987-05-22T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Premnas_biaculeatus
145.766,-16.916,NA,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
145.517,-14.7464,1993-10-14,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
145.97357,-16.76995,2007-01-04,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
120.4789963,14.24600029,2005-09-07,PreservedSpecimen,Ocean Genome Legacy Collection,present,NA,OBIS,Premnas_biaculeatus
145.5,-14.6666669846,1981-09-16T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Premnas_biaculeatus
145.464,-14.6919,2004-08-14 23:08:00,HumanObservation,NA,present,NA,OBIS,Premnas_biaculeatus
145.37223,-14.7553,2010-10-17,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
132.5,-7.5,NA,PreservedSpecimen,NA,NA,NA,OBIS,Premnas_biaculeatus
145.466,-14.666,1975-11-17,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
146.47903,-17.22507,2012-02-25,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
106.836998,-6.078999996,2005-12-21,PreservedSpecimen,Ocean Genome Legacy Collection,present,NA,OBIS,Premnas_biaculeatus
145.466,-14.68694,2008-09-08,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
146.99047,-18.42022,2008-05-13,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
145.459,-14.686,2017-01-11 00:01:00,HumanObservation,NA,present,NA,OBIS,Premnas_biaculeatus
106.836997986,-6.07899999619,NA,HumanObservation,NA,NA,NA,OBIS,Premnas_biaculeatus
145.45527,-14.68499,2008-09-09,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
155,-6,NA,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
145.49417,-14.65033,1997-10-19,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
142.216,-10.583,NA,PreservedSpecimen,NA,present,NA,OBIS,Premnas_biaculeatus
145.97668,-16.77287,2015-03-08,HumanObservation,NA,present,5,OBIS,Premnas_biaculeatus
